timestamp,agent.name,rule.description,rule.level,rule.id
"Apr 9, 2025 @ 10:58:36.936","agente-ubuntu","syslog: User authentication failure.","5","2501"
"Apr 9, 2025 @ 10:58:36.934","agente-ubuntu","Maximum authentication attempts exceeded.","8","5758"
"Apr 9, 2025 @ 10:58:36.929","agente-ubuntu","Multiple authentication failures.","10","40111"
"Apr 9, 2025 @ 10:58:36.927","agente-ubuntu","syslog: User authentication failure.","5","2501"
"Apr 9, 2025 @ 10:58:36.925","agente-ubuntu","Maximum authentication attempts exceeded.","8","5758"
"Apr 9, 2025 @ 10:58:36.921","agente-ubuntu","syslog: User missed the password more than one time","10","2502"
"Apr 9, 2025 @ 10:58:36.916","agente-ubuntu","syslog: User missed the password more than one time","10","2502"
"Apr 9, 2025 @ 10:58:36.914","agente-ubuntu","syslog: User authentication failure.","5","2501"
"Apr 9, 2025 @ 10:58:36.912","agente-ubuntu","Maximum authentication attempts exceeded.","8","5758"
"Apr 9, 2025 @ 10:58:36.910","agente-ubuntu","syslog: User authentication failure.","5","2501"
"Apr 9, 2025 @ 10:58:36.908","agente-ubuntu","Maximum authentication attempts exceeded.","8","5758"
"Apr 9, 2025 @ 10:58:36.904","agente-ubuntu","syslog: User missed the password more than one time","10","2502"
"Apr 9, 2025 @ 10:58:36.902","agente-ubuntu","syslog: User authentication failure.","5","2501"
"Apr 9, 2025 @ 10:58:36.901","agente-ubuntu","Maximum authentication attempts exceeded.","8","5758"
"Apr 9, 2025 @ 10:58:35.012","agente-ubuntu","PAM: User login failed.","5","5503"
"Apr 9, 2025 @ 10:58:35.010","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:35.008","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:35.006","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:35.005","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:35.003","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:35.000","agente-ubuntu","PAM: User login failed.","5","5503"
"Apr 9, 2025 @ 10:58:34.998","agente-ubuntu","PAM: User login failed.","5","5503"
"Apr 9, 2025 @ 10:58:34.996","agente-ubuntu","PAM: User login failed.","5","5503"
"Apr 9, 2025 @ 10:58:34.993","agente-ubuntu","PAM: User login failed.","5","5503"
"Apr 9, 2025 @ 10:58:34.992","agente-ubuntu","PAM: Multiple failed logins in a small period of time.","10","5551"
"Apr 9, 2025 @ 10:58:34.989","agente-ubuntu","PAM: User login failed.","5","5503"
"Apr 9, 2025 @ 10:58:34.987","agente-ubuntu","PAM: User login failed.","5","5503"
"Apr 9, 2025 @ 10:58:34.983","agente-ubuntu","Multiple authentication failures.","10","40111"
"Apr 9, 2025 @ 10:58:34.981","agente-ubuntu","syslog: User authentication failure.","5","2501"
"Apr 9, 2025 @ 10:58:34.979","agente-ubuntu","Maximum authentication attempts exceeded.","8","5758"
"Apr 9, 2025 @ 10:58:34.974","agente-ubuntu","syslog: User missed the password more than one time","10","2502"
"Apr 9, 2025 @ 10:58:34.972","agente-ubuntu","syslog: User authentication failure.","5","2501"
"Apr 9, 2025 @ 10:58:34.970","agente-ubuntu","Maximum authentication attempts exceeded.","8","5758"
"Apr 9, 2025 @ 10:58:34.966","agente-ubuntu","syslog: User missed the password more than one time","10","2502"
"Apr 9, 2025 @ 10:58:34.964","agente-ubuntu","syslog: User authentication failure.","5","2501"
"Apr 9, 2025 @ 10:58:34.962","agente-ubuntu","Maximum authentication attempts exceeded.","8","5758"
"Apr 9, 2025 @ 10:58:34.957","agente-ubuntu","syslog: User missed the password more than one time","10","2502"
"Apr 9, 2025 @ 10:58:34.955","agente-ubuntu","syslog: User authentication failure.","5","2501"
"Apr 9, 2025 @ 10:58:34.953","agente-ubuntu","Maximum authentication attempts exceeded.","8","5758"
"Apr 9, 2025 @ 10:58:34.949","agente-ubuntu","Multiple authentication failures.","10","40111"
"Apr 9, 2025 @ 10:58:34.947","agente-ubuntu","syslog: User authentication failure.","5","2501"
"Apr 9, 2025 @ 10:58:34.945","agente-ubuntu","Maximum authentication attempts exceeded.","8","5758"
"Apr 9, 2025 @ 10:58:34.941","agente-ubuntu","syslog: User missed the password more than one time","10","2502"
"Apr 9, 2025 @ 10:58:34.938","agente-ubuntu","syslog: User authentication failure.","5","2501"
"Apr 9, 2025 @ 10:58:34.936","agente-ubuntu","Maximum authentication attempts exceeded.","8","5758"
"Apr 9, 2025 @ 10:58:34.932","agente-ubuntu","syslog: User missed the password more than one time","10","2502"
"Apr 9, 2025 @ 10:58:34.930","agente-ubuntu","syslog: User authentication failure.","5","2501"
"Apr 9, 2025 @ 10:58:34.928","agente-ubuntu","Maximum authentication attempts exceeded.","8","5758"
"Apr 9, 2025 @ 10:58:34.923","agente-ubuntu","syslog: User missed the password more than one time","10","2502"
"Apr 9, 2025 @ 10:58:34.921","agente-ubuntu","syslog: User authentication failure.","5","2501"
"Apr 9, 2025 @ 10:58:34.919","agente-ubuntu","Maximum authentication attempts exceeded.","8","5758"
"Apr 9, 2025 @ 10:58:34.917","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:34.915","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:34.913","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:34.911","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:34.909","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:34.907","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:34.898","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:34.898","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:32.936","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:32.936","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:32.936","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:32.936","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:32.895","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:30.909","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:30.907","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:30.904","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:30.902","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:30.900","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:30.897","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:30.896","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:30.895","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:28.914","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:28.912","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:28.910","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:28.908","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:28.905","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:28.903","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:28.901","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:28.899","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:28.896","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:28.894","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:28.892","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:28.890","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:28.889","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:26.913","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:26.911","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:26.909","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:26.906","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:26.904","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:26.902","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:26.900","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:26.898","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:26.895","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:26.893","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:26.890","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:26.889","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:26.889","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:22.937","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:22.937","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:22.937","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:22.896","agente-ubuntu","sshd: authentication failed.","5","5760"
